Date,Time,CPU Core 1 (C),CPU Core 2 (C),CPU Core 3 (C),CPU Core 4 (C),CPU PECI (C),CPU Proximity (C),CPU System Agent Core (C),Intel Iris Pro GPU (C),Battery (C),Battery Management Unit (C),Battery Proximity (C),Air Flow Proximity (C),AirPort Proximity (C),Left Heatsink Proximity (C),Platform Controller Hub Die (C),Right Heatsink Proximity (C),Memory Module Proximity (C),Memory Slot (C),Palmrest Proximity (C),Palmrest Proximity (C),SSD A (C),SSD B (C),CPU Average (C),Computer Average (C)
2020-08-02,20:40:58,43,41,36,39,42,36,35,41,28,28,27,32,33,34,42,34,39,37,27,26,31,30,39,35
2020-08-02,20:41:00,40,43,36,41,42,37,34,42,28,28,27,33,33,34,42,34,39,37,27,26,31,30,39,35
2020-08-02,20:41:02,39,40,37,38,42,36,35,42,28,28,27,33,33,34,42,34,39,37,27,26,31,30,38,34
2020-08-02,20:41:04,40,42,34,39,41,37,32,41,28,28,27,32,33,34,42,34,39,37,27,26,31,30,38,34
2020-08-02,20:41:06,42,41,36,38,42,37,33,40,28,28,27,32,33,34,42,34,39,37,27,26,31,30,39,34
2020-08-02,20:41:08,42,42,38,41,42,37,34,41,28,28,27,33,33,34,42,34,39,37,27,26,31,30,39,35
2020-08-02,20:41:10,40,40,37,40,41,37,33,39,28,28,27,32,33,34,42,34,39,37,27,26,31,30,38,34
2020-08-02,20:41:12,44,40,38,42,45,37,35,43,28,28,27,33,33,34,42,34,39,37,27,26,31,30,40,35
2020-08-02,20:41:14,42,41,38,40,42,36,36,40,28,28,27,33,33,34,42,34,39,37,27,26,31,30,39,35
2020-08-02,20:41:16,40,43,38,40,42,37,35,43,28,28,27,33,33,34,42,34,39,37,27,26,31,30,39,35
2020-08-02,20:41:18,41,42,38,39,42,37,34,40,28,28,27,33,33,34,42,34,39,36,27,26,31,30,39,34
2020-08-02,20:41:20,40,42,40,39,42,36,34,43,28,28,27,33,33,34,42,34,39,37,27,26,31,30,39,35
2020-08-02,20:41:22,44,42,39,42,44,37,37,41,28,28,27,33,33,34,42,34,39,37,27,26,31,30,41,35
2020-08-02,20:41:24,45,44,41,45,44,37,36,42,28,28,27,33,33,34,42,34,39,37,27,26,31,30,42,35
2020-08-02,20:41:26,43,42,38,41,45,38,35,42,28,28,27,33,33,34,42,34,39,37,27,26,31,31,40,35
2020-08-02,20:41:28,43,43,38,41,43,38,36,42,28,28,26,33,33,34,42,34,39,37,27,26,31,31,40,35
2020-08-02,20:41:30,47,47,42,44,49,38,38,43,28,28,26,33,33,34,42,34,39,37,26,26,31,31,44,36
2020-08-02,20:41:32,45,44,38,42,44,38,37,42,28,28,26,33,33,34,42,34,39,37,26,26,32,31,41,35
2020-08-02,20:41:34,45,41,38,42,43,38,35,42,28,28,26,33,33,34,42,34,39,37,26,26,32,31,40,35
2020-08-02,20:41:36,45,44,39,41,45,38,37,43,28,28,26,33,33,34,42,34,39,37,27,26,32,31,41,35
2020-08-02,20:41:38,51,48,42,43,49,38,41,43,28,28,27,33,33,34,42,34,39,37,27,26,32,31,45,37
2020-08-02,20:41:40,56,57,52,53,61,38,45,49,28,28,27,33,33,34,42,34,40,37,27,26,33,32,52,39
2020-08-02,20:41:42,48,47,42,45,49,39,40,45,28,28,27,33,34,34,42,34,39,37,27,26,34,32,44,37
2020-08-02,20:41:44,50,48,43,46,49,39,41,46,28,28,27,32,34,34,42,35,40,37,27,26,34,32,45,37
2020-08-02,20:41:46,47,46,44,44,46,40,39,46,28,28,27,33,34,35,42,35,40,37,27,26,34,33,44,37
2020-08-02,20:41:48,46,43,40,42,47,39,37,44,28,28,27,33,34,35,42,35,40,37,27,26,34,33,42,36
2020-08-02,20:41:50,48,46,43,44,48,39,40,46,28,28,27,33,34,35,42,35,40,37,27,26,33,33,44,37
2020-08-02,20:41:52,44,44,38,44,46,39,38,43,28,28,27,33,34,35,42,35,40,37,27,26,33,33,42,36
2020-08-02,20:41:54,45,45,38,45,47,39,38,45,28,28,27,33,34,35,42,35,40,37,27,27,33,32,42,36
2020-08-02,20:41:56,46,42,40,44,46,39,38,44,28,28,27,33,34,35,42,35,40,37,27,26,33,32,42,36
2020-08-02,20:41:58,43,43,42,41,45,39,38,43,28,28,27,32,34,35,42,35,40,37,27,26,33,32,42,36
2020-08-02,20:42:00,45,43,36,41,44,39,37,43,28,28,27,33,34,35,42,35,40,37,27,26,33,32,41,36
2020-08-02,20:42:02,44,44,39,41,45,38,37,43,29,28,27,32,34,35,42,35,40,37,27,27,33,32,41,36
2020-08-02,20:42:04,49,46,42,44,48,38,40,44,29,29,27,32,34,35,42,35,40,37,27,27,33,32,44,37
2020-08-02,20:42:06,47,45,42,43,48,39,39,44,29,29,27,32,34,35,42,35,40,37,27,27,33,32,43,37
2020-08-02,20:42:08,48,45,42,42,48,39,39,44,29,29,27,32,34,35,42,35,40,37,27,26,34,33,43,37
2020-08-02,20:42:10,51,49,45,46,51,39,42,45,29,29,27,33,34,35,42,35,40,37,27,27,35,33,46,38
2020-08-02,20:42:12,46,46,40,45,48,40,39,46,29,29,27,32,34,35,42,35,40,37,27,27,36,34,43,37
2020-08-02,20:42:14,46,44,40,42,46,40,38,44,29,29,27,33,34,34,42,35,40,38,28,27,36,35,42,37
