Time, CPU Usage, CPU Temp, 
2020-07-20 02:12:59.420426,0.0,{'cpu_thermal': [shwtemp(label='', current=50.634, high=None, critical=None)]}
2020-07-20 02:13:09.432856,0.0,{'cpu_thermal': [shwtemp(label='', current=50.634, high=None, critical=None)]}
2020-07-20 02:13:19.446463,0.0,{'cpu_thermal': [shwtemp(label='', current=50.634, high=None, critical=None)]}
2020-07-20 02:13:29.460004,-0.0,{'cpu_thermal': [shwtemp(label='', current=51.121, high=None, critical=None)]}
2020-07-20 02:13:39.473633,0.0,{'cpu_thermal': [shwtemp(label='', current=50.634, high=None, critical=None)]}
2020-07-20 02:13:49.482664,0.0,{'cpu_thermal': [shwtemp(label='', current=51.608, high=None, critical=None)]}
2020-07-20 02:13:59.496155,0.0,{'cpu_thermal': [shwtemp(label='', current=50.147, high=None, critical=None)]}
2020-07-20 02:14:09.509667,0.0,{'cpu_thermal': [shwtemp(label='', current=50.634, high=None, critical=None)]}
2020-07-20 02:14:19.523274,0.0,{'cpu_thermal': [shwtemp(label='', current=50.147, high=None, critical=None)]}
2020-07-20 02:14:29.536855,0.2,{'cpu_thermal': [shwtemp(label='', current=50.147, high=None, critical=None)]}
2020-07-20 02:14:39.550486,-0.0,{'cpu_thermal': [shwtemp(label='', current=50.634, high=None, critical=None)]}
2020-07-20 02:14:49.564073,0.0,{'cpu_thermal': [shwtemp(label='', current=49.173, high=None, critical=None)]}
2020-07-20 02:14:59.577646,-0.0,{'cpu_thermal': [shwtemp(label='', current=51.608, high=None, critical=None)]}
2020-07-20 02:15:09.591219,0.0,{'cpu_thermal': [shwtemp(label='', current=49.66, high=None, critical=None)]}
2020-07-20 02:15:19.604858,0.0,{'cpu_thermal': [shwtemp(label='', current=51.121, high=None, critical=None)]}
2020-07-20 02:15:29.618359,0.0,{'cpu_thermal': [shwtemp(label='', current=51.121, high=None, critical=None)]}
2020-07-20 02:15:39.631901,0.0,{'cpu_thermal': [shwtemp(label='', current=50.634, high=None, critical=None)]}
2020-07-20 02:15:49.645488,0.0,{'cpu_thermal': [shwtemp(label='', current=50.634, high=None, critical=None)]}
2020-07-20 02:15:59.659061,0.0,{'cpu_thermal': [shwtemp(label='', current=51.121, high=None, critical=None)]}
2020-07-20 02:16:09.672667,3.3,{'cpu_thermal': [shwtemp(label='', current=51.121, high=None, critical=None)]}
2020-07-20 02:16:19.686279,6.8,{'cpu_thermal': [shwtemp(label='', current=51.608, high=None, critical=None)]}
2020-07-20 02:16:29.698859,8.6,{'cpu_thermal': [shwtemp(label='', current=52.582, high=None, critical=None)]}
2020-07-20 02:16:39.711882,9.7,{'cpu_thermal': [shwtemp(label='', current=53.069, high=None, critical=None)]}
2020-07-20 02:16:49.724998,8.6,{'cpu_thermal': [shwtemp(label='', current=53.556, high=None, critical=None)]}
2020-07-20 02:16:59.732885,7.7,{'cpu_thermal': [shwtemp(label='', current=54.043, high=None, critical=None)]}
2020-07-20 02:17:09.746172,8.8,{'cpu_thermal': [shwtemp(label='', current=53.556, high=None, critical=None)]}
2020-07-20 02:17:19.752589,6.1,{'cpu_thermal': [shwtemp(label='', current=53.556, high=None, critical=None)]}
2020-07-20 02:17:29.766270,2.2,{'cpu_thermal': [shwtemp(label='', current=53.556, high=None, critical=None)]}
2020-07-20 02:17:39.779923,3.5,{'cpu_thermal': [shwtemp(label='', current=53.069, high=None, critical=None)]}
2020-07-20 02:17:49.791604,6.4,{'cpu_thermal': [shwtemp(label='', current=53.556, high=None, critical=None)]}
2020-07-20 02:17:59.804778,7.7,{'cpu_thermal': [shwtemp(label='', current=54.043, high=None, critical=None)]}
2020-07-20 02:18:09.817855,8.5,{'cpu_thermal': [shwtemp(label='', current=53.556, high=None, critical=None)]}
2020-07-20 02:18:19.831159,9.3,{'cpu_thermal': [shwtemp(label='', current=53.069, high=None, critical=None)]}
2020-07-20 02:18:29.844502,3.3,{'cpu_thermal': [shwtemp(label='', current=53.069, high=None, critical=None)]}
2020-07-20 02:18:39.856465,7.3,{'cpu_thermal': [shwtemp(label='', current=54.53, high=None, critical=None)]}
2020-07-20 02:18:49.869484,9.7,{'cpu_thermal': [shwtemp(label='', current=54.53, high=None, critical=None)]}
2020-07-20 02:18:59.872585,7.0,{'cpu_thermal': [shwtemp(label='', current=53.556, high=None, critical=None)]}
2020-07-20 02:19:09.885689,7.9,{'cpu_thermal': [shwtemp(label='', current=54.043, high=None, critical=None)]}
2020-07-20 02:19:19.898694,8.0,{'cpu_thermal': [shwtemp(label='', current=54.043, high=None, critical=None)]}
2020-07-20 02:19:29.911780,9.0,{'cpu_thermal': [shwtemp(label='', current=53.069, high=None, critical=None)]}
2020-07-20 02:19:39.924943,9.2,{'cpu_thermal': [shwtemp(label='', current=53.556, high=None, critical=None)]}
2020-07-20 02:19:49.938089,9.7,{'cpu_thermal': [shwtemp(label='', current=53.556, high=None, critical=None)]}
2020-07-20 02:19:59.942570,8.4,{'cpu_thermal': [shwtemp(label='', current=52.582, high=None, critical=None)]}
2020-07-20 02:20:09.955658,9.1,{'cpu_thermal': [shwtemp(label='', current=53.556, high=None, critical=None)]}
2020-07-20 02:20:19.968724,8.6,{'cpu_thermal': [shwtemp(label='', current=54.043, high=None, critical=None)]}
2020-07-20 02:20:29.982264,8.9,{'cpu_thermal': [shwtemp(label='', current=54.53, high=None, critical=None)]}
2020-07-20 02:20:39.994750,9.6,{'cpu_thermal': [shwtemp(label='', current=54.043, high=None, critical=None)]}
2020-07-20 02:20:50.007787,9.5,{'cpu_thermal': [shwtemp(label='', current=54.043, high=None, critical=None)]}
2020-07-20 02:21:00.020841,8.0,{'cpu_thermal': [shwtemp(label='', current=55.504, high=None, critical=None)]}
2020-07-20 02:21:10.034064,9.2,{'cpu_thermal': [shwtemp(label='', current=54.043, high=None, critical=None)]}
2020-07-20 02:21:20.047533,9.4,{'cpu_thermal': [shwtemp(label='', current=54.53, high=None, critical=None)]}
2020-07-20 02:21:30.060583,9.9,{'cpu_thermal': [shwtemp(label='', current=54.043, high=None, critical=None)]}
2020-07-20 02:21:40.074289,9.0,{'cpu_thermal': [shwtemp(label='', current=55.017, high=None, critical=None)]}
2020-07-20 02:21:50.082712,8.6,{'cpu_thermal': [shwtemp(label='', current=54.043, high=None, critical=None)]}
2020-07-20 02:22:00.096072,8.3,{'cpu_thermal': [shwtemp(label='', current=54.53, high=None, critical=None)]}
2020-07-20 02:22:10.109095,8.9,{'cpu_thermal': [shwtemp(label='', current=55.504, high=None, critical=None)]}
2020-07-20 02:22:20.122147,8.9,{'cpu_thermal': [shwtemp(label='', current=54.043, high=None, critical=None)]}
2020-07-20 02:22:30.135774,8.9,{'cpu_thermal': [shwtemp(label='', current=55.017, high=None, critical=None)]}
2020-07-20 02:22:40.148991,8.8,{'cpu_thermal': [shwtemp(label='', current=54.53, high=None, critical=None)]}
2020-07-20 02:22:50.152575,8.6,{'cpu_thermal': [shwtemp(label='', current=55.504, high=None, critical=None)]}
2020-07-20 02:23:00.165819,8.1,{'cpu_thermal': [shwtemp(label='', current=54.53, high=None, critical=None)]}
2020-07-20 02:23:10.178924,8.5,{'cpu_thermal': [shwtemp(label='', current=55.017, high=None, critical=None)]}
2020-07-20 02:23:20.182636,8.9,{'cpu_thermal': [shwtemp(label='', current=55.504, high=None, critical=None)]}
2020-07-20 02:23:30.196582,8.5,{'cpu_thermal': [shwtemp(label='', current=55.991, high=None, critical=None)]}
2020-07-20 02:23:40.209871,9.1,{'cpu_thermal': [shwtemp(label='', current=55.504, high=None, critical=None)]}
2020-07-20 02:23:50.223803,9.1,{'cpu_thermal': [shwtemp(label='', current=55.017, high=None, critical=None)]}
2020-07-20 02:24:00.236818,7.8,{'cpu_thermal': [shwtemp(label='', current=54.043, high=None, critical=None)]}
2020-07-20 02:24:10.242577,9.6,{'cpu_thermal': [shwtemp(label='', current=55.017, high=None, critical=None)]}
2020-07-20 02:24:20.255625,9.2,{'cpu_thermal': [shwtemp(label='', current=55.017, high=None, critical=None)]}
2020-07-20 02:24:30.269052,8.5,{'cpu_thermal': [shwtemp(label='', current=55.017, high=None, critical=None)]}
2020-07-20 02:24:40.272917,8.5,{'cpu_thermal': [shwtemp(label='', current=55.017, high=None, critical=None)]}
2020-07-20 02:24:50.286013,9.9,{'cpu_thermal': [shwtemp(label='', current=55.504, high=None, critical=None)]}
2020-07-20 02:25:00.299133,8.8,{'cpu_thermal': [shwtemp(label='', current=54.53, high=None, critical=None)]}
2020-07-20 02:25:10.312361,8.9,{'cpu_thermal': [shwtemp(label='', current=55.504, high=None, critical=None)]}
2020-07-20 02:25:20.325518,8.8,{'cpu_thermal': [shwtemp(label='', current=55.504, high=None, critical=None)]}
2020-07-20 02:25:30.338669,9.4,{'cpu_thermal': [shwtemp(label='', current=55.017, high=None, critical=None)]}
2020-07-20 02:25:40.342583,8.6,{'cpu_thermal': [shwtemp(label='', current=55.504, high=None, critical=None)]}
2020-07-20 02:25:50.355742,9.3,{'cpu_thermal': [shwtemp(label='', current=56.478, high=None, critical=None)]}
2020-07-20 02:26:00.368848,10.0,{'cpu_thermal': [shwtemp(label='', current=55.504, high=None, critical=None)]}
2020-07-20 02:26:10.372586,9.3,{'cpu_thermal': [shwtemp(label='', current=55.504, high=None, critical=None)]}
2020-07-20 02:26:20.385653,8.9,{'cpu_thermal': [shwtemp(label='', current=55.991, high=None, critical=None)]}
2020-07-20 02:26:30.392599,9.9,{'cpu_thermal': [shwtemp(label='', current=55.017, high=None, critical=None)]}
2020-07-20 02:26:40.406041,9.3,{'cpu_thermal': [shwtemp(label='', current=55.991, high=None, critical=None)]}
2020-07-20 02:26:50.419179,8.4,{'cpu_thermal': [shwtemp(label='', current=56.965, high=None, critical=None)]}
2020-07-20 02:27:00.432330,9.4,{'cpu_thermal': [shwtemp(label='', current=56.478, high=None, critical=None)]}
2020-07-20 02:27:10.445399,9.2,{'cpu_thermal': [shwtemp(label='', current=56.478, high=None, critical=None)]}
2020-07-20 02:27:20.452685,9.9,{'cpu_thermal': [shwtemp(label='', current=56.965, high=None, critical=None)]}
2020-07-20 02:27:30.466513,9.3,{'cpu_thermal': [shwtemp(label='', current=55.991, high=None, critical=None)]}
2020-07-20 02:27:40.479608,8.3,{'cpu_thermal': [shwtemp(label='', current=55.504, high=None, critical=None)]}
2020-07-20 02:27:50.492856,8.3,{'cpu_thermal': [shwtemp(label='', current=56.965, high=None, critical=None)]}
2020-07-20 02:28:00.505873,9.2,{'cpu_thermal': [shwtemp(label='', current=55.504, high=None, critical=None)]}
2020-07-20 02:28:10.518962,8.5,{'cpu_thermal': [shwtemp(label='', current=55.991, high=None, critical=None)]}
2020-07-20 02:28:20.532338,9.1,{'cpu_thermal': [shwtemp(label='', current=56.478, high=None, critical=None)]}
2020-07-20 02:28:30.542574,8.1,{'cpu_thermal': [shwtemp(label='', current=56.478, high=None, critical=None)]}
2020-07-20 02:28:40.555795,8.8,{'cpu_thermal': [shwtemp(label='', current=56.478, high=None, critical=None)]}
2020-07-20 02:28:50.568849,8.8,{'cpu_thermal': [shwtemp(label='', current=56.478, high=None, critical=None)]}
2020-07-20 02:29:00.581989,7.5,{'cpu_thermal': [shwtemp(label='', current=55.991, high=None, critical=None)]}
2020-07-20 02:29:10.592576,7.9,{'cpu_thermal': [shwtemp(label='', current=55.991, high=None, critical=None)]}
2020-07-20 02:29:20.605669,9.0,{'cpu_thermal': [shwtemp(label='', current=56.965, high=None, critical=None)]}
2020-07-20 02:29:30.619283,9.3,{'cpu_thermal': [shwtemp(label='', current=55.991, high=None, critical=None)]}
2020-07-20 02:29:40.632373,8.6,{'cpu_thermal': [shwtemp(label='', current=56.965, high=None, critical=None)]}
2020-07-20 02:29:50.645746,8.6,{'cpu_thermal': [shwtemp(label='', current=56.965, high=None, critical=None)]}
2020-07-20 02:30:00.658877,8.0,{'cpu_thermal': [shwtemp(label='', current=57.452, high=None, critical=None)]}
2020-07-20 02:30:10.671964,9.3,{'cpu_thermal': [shwtemp(label='', current=56.478, high=None, critical=None)]}
2020-07-20 02:30:20.685497,8.9,{'cpu_thermal': [shwtemp(label='', current=57.452, high=None, critical=None)]}
2020-07-20 02:30:30.698592,7.7,{'cpu_thermal': [shwtemp(label='', current=57.452, high=None, critical=None)]}
2020-07-20 02:30:40.702643,8.4,{'cpu_thermal': [shwtemp(label='', current=57.452, high=None, critical=None)]}
2020-07-20 02:30:50.715659,9.0,{'cpu_thermal': [shwtemp(label='', current=55.991, high=None, critical=None)]}
2020-07-20 02:31:00.728774,9.2,{'cpu_thermal': [shwtemp(label='', current=56.965, high=None, critical=None)]}
2020-07-20 02:31:10.732637,8.4,{'cpu_thermal': [shwtemp(label='', current=56.965, high=None, critical=None)]}
2020-07-20 02:31:20.745798,8.9,{'cpu_thermal': [shwtemp(label='', current=56.478, high=None, critical=None)]}
2020-07-20 02:31:30.758851,8.4,{'cpu_thermal': [shwtemp(label='', current=56.478, high=None, critical=None)]}
2020-07-20 02:31:40.772752,9.2,{'cpu_thermal': [shwtemp(label='', current=56.478, high=None, critical=None)]}
